VehicleNumber,Lines,Lat,Lon,Time
1276,28,52.29978,20.92836,2025-01-20 21:03:07
1284,28,52.27157,20.934086,2025-01-20 21:03:08
1290,33,52.222893,21.004713,2025-01-20 21:03:09
1300,22,52.22556,20.988554,2025-01-20 21:03:07
1306,7,52.216072,20.98076,2025-01-20 21:02:35
1310,28,52.281227,20.92465,2025-01-20 21:03:09
1314,28,52.239296,20.90142,2025-01-20 21:03:10
1318,18,52.203777,21.023146,2025-01-20 21:03:07
1330,17,52.338497,20.943563,2025-01-20 21:03:07
1336,28,52.252853,21.049974,2025-01-20 21:03:05
1346,28,52.260796,21.009476,2025-01-20 21:03:04
1356,28,52.23876,20.900913,2025-01-20 21:03:09
1360,33,52.26323,20.975643,2025-01-20 21:03:08
1362,18,52.281925,21.009499,2025-01-20 21:03:02
1364,26,52.292038,20.930048,2025-01-20 21:03:08
1366,22,52.26368,20.974073,2025-01-20 21:03:07
1368,33,52.292355,20.930092,2025-01-20 21:03:09
1372,33,52.26425,20.972149,2025-01-20 21:03:07
1380,33,52.2904,20.929787,2025-01-20 21:03:06
1381,7,52.17623,20.944101,2025-01-20 21:03:09
1390,1,52.255672,20.985432,2025-01-20 21:03:07
1392,26,52.252018,21.028275,2025-01-20 21:03:07
1420,28,52.263763,21.019783,2025-01-20 21:03:08
1428,3,52.28369,21.033728,2025-01-20 21:03:07
1434,22,52.25549,20.982164,2025-01-20 21:03:10
1438,4,52.22914,21.012115,2025-01-20 21:03:05
1444,3,52.256554,21.056307,2025-01-20 21:03:05
1466,15,52.189808,21.023531,2025-01-20 21:03:06
2006,24,52.23288,20.971062,2025-01-20 21:03:08
2008,26,52.304897,21.024843,2025-01-20 21:03:06
2010,25,52.23103,20.983877,2025-01-20 21:03:00
2014,25,52.21047,20.981686,2025-01-20 21:03:10
2016,25,52.248657,21.045069,2025-01-20 21:03:05
2022,22,52.246616,21.063704,2025-01-20 21:03:10
2028,24,52.232708,20.973438,2025-01-20 21:03:04
2030,25,52.229145,20.985435,2025-01-20 21:03:05
2032,23,52.23208,20.968803,2025-01-20 21:03:07
2034,24,52.230305,21.013681,2025-01-20 21:03:07
2038,26,52.232418,20.97047,2025-01-20 21:03:08
2040,26,52.244705,21.084915,2025-01-20 21:03:05
2044,26,52.231937,20.971697,2025-01-20 21:03:07
2050,20,52.247673,20.918625,2025-01-20 21:03:08
2054,1,52.209835,20.981981,2025-01-20 21:03:04
2056,22,52.234196,20.973186,2025-01-20 21:03:06
2062,4,52.170376,21.018744,2025-01-20 21:03:09
2066,20,52.25254,21.029554,2025-01-20 21:03:04
2068,23,52.231834,20.971674,2025-01-20 21:03:09
2070,25,52.231953,20.972063,2025-01-20 21:03:08
2078,4,52.217464,21.01928,2025-01-20 21:03:09
2084,18,52.188824,21.000973,2025-01-20 21:03:06
2090,15,52.23647,21.00804,2025-01-20 21:03:04
2092,18,52.25571,20.998484,2025-01-20 21:03:09
2096,4,52.181618,21.022697,2025-01-20 21:03:06
2100,18,52.181686,20.989065,2025-01-20 21:03:04
2122,10,52.18634,21.000208,2025-01-20 21:03:08
2130,4,52.18638,21.000046,2025-01-20 21:03:06
2134,15,52.186672,21.000183,2025-01-20 21:03:06
